,logEvent,labels
237,"Booking recording failed for Verrückt nach Meer
java.lang.Throwable: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ServerError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
238,"Booking recording failed for The Transporter Refueled
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
239,"Booking recording failed for Tatort
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
240,"Booking recording failed for Suits
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
241,"Booking recording failed for Sturm der Liebe
java.lang.Throwable: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ServerError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
242,"Booking recording failed for Steve Jobs
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
243,"Booking recording failed for Snap
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
244,"Booking recording failed for Shutter Island
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
245,"Booking recording failed for Schloss Einstein
java.lang.Throwable: EQuotaExceeded: Recording quota of customer '' exceeded
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ServerError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
246,"Booking recording failed for SOKO Leipzig
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
247,"Booking recording failed for Rote Rosen
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
248,"Booking recording failed for Mise au point
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
249,"Booking recording failed for McLeods Töchter
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
250,"Booking recording failed for Kiss & Kill
java.lang.Throwable: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ServerError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
251,"Booking recording failed for Hubert und Staller
java.lang.Throwable: EQuotaExceeded: Recording quota of customer '' exceeded
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ServerError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
252,"Booking recording failed for How I Met Your Mother
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
253,"Booking recording failed for Fußball: Bundesliga - Live!
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
254,"Booking recording failed for Eishockey: Svenska Hockeyligan - Live!
de.tara_systems.quickline.qluhdutils.api.Failure: EQuotaExceeded: Recording quota of customer '' exceeded
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
255,"Booking recording failed for Eishockey: National League - Wiederholung
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
256,"Booking recording failed for Cuochi d'artificio
java.lang.Throwable: EQuotaExceeded: Recording quota of customer '' exceeded
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ServerError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
257,"Booking recording failed for CH Musik – Ein ganzer Tag
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
258,"Booking recording failed for ARD-Buffet
de.tara_systems.quickline.qluhdutils.api.Failure: ERecordingManagement: Event '' is already recorded with id ''
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisErrorParser.parse(TraxisErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.ResponseErrorParser.parse(ResponseErrorParser.java:)
	at de.tara_systems.quickline.traxisclient.impl.requests.TraxisRequestNew.onError(TraxisRequestNew.java:)
	at de.tara_systems.quickline.ssoclient.http_client.impl.VolleyRequest$HttpRequestAdapter.onErrorResponse(VolleyRequest.java:)
	at com.android.volley.Request.deliverError(Request.java:)
	at com.android.volley.ExecutorDelivery$ResponseDeliveryRunnable.run(ExecutorDelivery.java:)
	at android.os.Handler.handleCallback(Handler.java:)
	at android.os.Handler.dispatchMessage(Handler.java:)
	at android.os.Looper.loop(Looper.java:)
	at android.os.HandlerThread.run(HandlerThread.java:)
Caused by: com.android.volley.ClientError
	at com.android.volley.toolbox.BasicNetwork.performRequest(BasicNetwork.java:)
	at com.android.volley.NetworkDispatcher.processRequest(NetworkDispatcher.java:)
	at com.android.volley.NetworkDispatcher.run(NetworkDispatcher.java:)
",50
259," [SM.Recorder         ] Cannot start timeshift recording: Sink is missing
",49
